时间,开盘,收盘,最高,最低,成交量,成交额,均价
2025-04-14 09:30:00,0.0,10.04,10.04,10.04,1195,1199780.0,10.04
2025-04-14 09:31:00,0.0,10.04,10.06,10.02,8196,8229884.0,10.042
2025-04-14 09:32:00,0.0,10.07,10.07,10.03,3170,3185051.0,10.043
2025-04-14 09:33:00,0.0,10.02,10.06,10.01,6903,6932713.0,10.043
2025-04-14 09:34:00,0.0,10.03,10.04,10.02,3618,3629842.0,10.041
2025-04-14 09:35:00,0.0,10.02,10.04,10.02,1887,1892599.0,10.04
2025-04-14 09:36:00,0.0,10.03,10.03,10.0,6691,6699243.0,10.035
2025-04-14 09:37:00,0.0,10.04,10.05,10.02,2901,2910672.0,10.034
2025-04-14 09:38:00,0.0,10.05,10.05,10.04,2862,2873430.0,10.035
2025-04-14 09:39:00,0.0,10.04,10.06,10.04,1427,1433966.0,10.035
2025-04-14 09:40:00,0.0,10.05,10.06,10.04,1686,1693718.0,10.036
2025-04-14 09:41:00,0.0,10.06,10.06,10.05,1789,1799478.0,10.037
2025-04-14 09:42:00,0.0,10.06,10.06,10.05,1402,1409825.0,10.037
2025-04-14 09:43:00,0.0,10.06,10.07,10.06,3100,3119100.0,10.039
2025-04-14 09:44:00,0.0,10.07,10.07,10.05,3714,3735015.0,10.04
2025-04-14 09:45:00,0.0,10.06,10.07,10.06,1035,1041993.0,10.041
2025-04-14 09:46:00,0.0,10.1,10.1,10.07,6835,6893909.0,10.046
2025-04-14 09:47:00,0.0,10.08,10.1,10.07,3375,3404095.0,10.048
2025-04-14 09:48:00,0.0,10.1,10.1,10.08,1778,1794302.0,10.05
2025-04-14 09:49:00,0.0,10.1,10.1,10.08,4821,4865623.0,10.053
2025-04-14 09:50:00,0.0,10.08,10.1,10.07,3102,3127102.0,10.054
2025-04-14 09:51:00,0.0,10.07,10.08,10.06,2423,2439958.0,10.054
2025-04-14 09:52:00,0.0,10.06,10.07,10.06,1186,1193684.0,10.054
2025-04-14 09:53:00,0.0,10.05,10.07,10.05,2723,2739321.0,10.055
2025-04-14 09:54:00,0.0,10.06,10.07,10.05,2000,2012324.0,10.055
2025-04-14 09:55:00,0.0,10.09,10.09,10.07,2314,2332013.0,10.055
2025-04-14 09:56:00,0.0,10.09,10.09,10.07,2148,2166427.0,10.056
2025-04-14 09:57:00,0.0,10.08,10.09,10.08,1345,1356429.0,10.057
2025-04-14 09:58:00,0.0,10.08,10.09,10.07,1076,1084698.0,10.057
2025-04-14 09:59:00,0.0,10.06,10.08,10.06,1468,1477731.0,10.057
2025-04-14 10:00:00,0.0,10.07,10.07,10.06,3174,3194287.0,10.057
2025-04-14 10:01:00,0.0,10.09,10.09,10.07,3625,3655279.0,10.058
2025-04-14 10:02:00,0.0,10.09,10.09,10.08,1801,1816191.0,10.059
2025-04-14 10:03:00,0.0,10.12,10.13,10.08,22781,23010128.0,10.067
2025-04-14 10:04:00,0.0,10.12,10.13,10.12,3334,3374624.0,10.068
2025-04-14 10:05:00,0.0,10.12,10.13,10.11,1801,1823241.0,10.069
2025-04-14 10:06:00,0.0,10.12,10.12,10.11,635,642234.0,10.069
2025-04-14 10:07:00,0.0,10.13,10.14,10.11,7151,7236580.0,10.072
2025-04-14 10:08:00,0.0,10.11,10.13,10.11,1467,1484989.0,10.073
2025-04-14 10:09:00,0.0,10.12,10.12,10.11,2031,2054512.0,10.073
2025-04-14 10:10:00,0.0,10.11,10.12,10.11,908,918414.0,10.074
2025-04-14 10:11:00,0.0,10.11,10.11,10.1,2607,2633577.0,10.074
2025-04-14 10:12:00,0.0,10.11,10.11,10.1,1006,1016611.0,10.074
2025-04-14 10:13:00,0.0,10.09,10.11,10.09,3055,3084655.0,10.075
2025-04-14 10:14:00,0.0,10.1,10.1,10.08,853,860565.0,10.075
2025-04-14 10:15:00,0.0,10.09,10.1,10.09,811,818732.0,10.075
2025-04-14 10:16:00,0.0,10.11,10.12,10.09,13292,13428382.0,10.077
2025-04-14 10:17:00,0.0,10.1,10.11,10.09,738,745446.0,10.077
